title,artistName,yearAsString,genre,image,vector
"Series No. VII, No. 3f",Klint Hilma at,1920,abstract,https://uploads1.wikiart.org/images/hilma-af-klint/series-no-vii-no-3f-1920.jpg,"[1.2232142857142856, 0.014880952380952382, 3.995535714285714, 0.0625, 0.9464285714285715, 93.00892857142857, 0.7485119047619048, 1, 81.75418417366946]"
Wheat and Wormwood,Klint Hilma at,1922,abstract,https://uploads0.wikiart.org/images/hilma-af-klint/wheat-and-wormwood-1922.jpg!Large.jpg,"[0.07142857142857142, 0.8, 6.093650793650793, 0.46984126984126984, 0.23015873015873015, 71.51428571428572, 20.82063492063492, 3, 80.83537503890446]"
Untitled,Klint Hilma at,,abstract,https://uploads6.wikiart.org/images/hilma-af-klint/untitled(1).jpg!Large.jpg,"[1.5272727272727273, 2.6818181818181817, 30.404545454545456, 0.004545454545454545, 11.71969696969697, 8.313636363636363, 45.34848484848485, 4, 45.66802733214498]"
Red Landscape,Mattis-Teutsch Janos,1918,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/red-landscape-1918.jpg!Large.jpg,"[0.007874015748031496, 26.75459317585302, 5.741469816272966, 0.0, 0.0, 3.0721784776902887, 64.4238845144357, 3, 52.050270186814885]"
Blue and Red Landscape,Mattis-Teutsch Janos,1918,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/blue-and-red-landscape-1918.jpg!Large.jpg,"[20.017241379310345, 2.110344827586207, 31.095402298850576, 14.93448275862069, 12.136781609195403, 0.2597701149425287, 19.445977011494254, 5, 45.89829163849448]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1919(3).jpg!Large.jpg,"[11.822916666666666, 0.8050595238095238, 24.626488095238095, 3.193452380952381, 18.37202380952381, 0.4330357142857143, 40.74702380952381, 4, 42.26331699346405]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1919(4).jpg!Large.jpg,"[21.12212643678161, 11.291666666666666, 25.060344827586206, 0.44396551724137934, 14.505747126436782, 3.975574712643678, 23.60057471264368, 5, 46.38017804823079]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1919(5).jpg!Large.jpg,"[9.9182156133829, 3.0223048327137545, 29.801734820322178, 18.237918215613384, 2.691449814126394, 3.6493184634448577, 32.67905824039653, 4, 49.92499453312924]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads4.wikiart.org/images/janos-mattis-teutsch/composition-1919-1(5).jpg!Large.jpg,"[0.7048748353096179, 2.1923583662714097, 20.304347826086957, 0.9025032938076416, 34.180500658761524, 16.82740447957839, 24.888010540184453, 4, 42.758769278462374]"
Composition,Mattis-Teutsch Janos,1919,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1919-2.jpg!Large.jpg,"[7.9957805907173, 5.468354430379747, 61.52461322081575, 6.6258790436005635, 4.642756680731364, 9.528832630098453, 4.213783403656821, 5, 61.2703290036127]"
