,title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert,label
998,Wind Directions,Frankenthaler Helen,1970.0,abstract,https://uploads2.wikiart.org/images/helen-frankenthaler/wind-directions-1970.jpg,84.23820148749155,5.0,2.0,0.0,3.9931034482758623,0.3172413793103448,0.0,3.710344827586207,0.0,0.0,15.834482758620693,0.0,76.1448275862069,0.0,0.014369830365904947,0.016028119507908608,0.0100782296144901,0.0056226439205162605,0.004415152290760174,0.006779446239624913,2
999,What Red Lines Can Do,Frankenthaler Helen,1970.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/what-red-lines-can-do-1970.jpg,95.6594480755265,3.0,1.0,0.0,0.0,0.7296296296296296,0.0,1.6259259259259258,0.0,0.0,1.2148148148148148,0.0,96.42962962962964,0.0,0.023345367027677498,0.0060075093867334155,0.02815510002469745,0.020952856073833875,0.010328389830508477,0.05900461775269369,2
1000,Green Likes Mauve,Frankenthaler Helen,1970.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/green-likes-mauve-1970.jpg,46.97862468931234,4.0,2.0,0.0,11.602112676056338,0.0,0.0,86.67957746478874,0.0,0.0,0.0,0.0,1.7183098591549295,0.0,0.0033001903955997467,0.00446941642191291,0.0032001347425154748,0.004071627404545266,0.002835578166048121,0.0003715630418627694,8
1001,Free Wheeling,Frankenthaler Helen,1971.0,abstract,https://uploads0.wikiart.org/images/helen-frankenthaler/free-wheeling-1971.jpg,86.44454160042395,3.0,1.0,0.0,0.15202702702702706,0.9222972972972971,0.0,3.7364864864864864,0.0,0.0,0.16554054054054054,0.0,95.02364864864865,0.0,0.015207299503761804,0.017721300138312586,0.008158892368551178,0.017848410757946208,0.021814006888633757,0.013874958207957205,2
1002,Sanguine Mood,Frankenthaler Helen,1971.0,abstract,https://uploads0.wikiart.org/images/helen-frankenthaler/sanguine-mood-1971.jpg,68.95081402257873,2.0,3.0,0.0,1.9151515151515155,0.0,0.0,33.093939393939394,0.0,0.0,50.10606060606061,0.0,14.884848484848485,0.0,0.0023131999265650818,0.0021790584964496373,0.0015831731312902864,0.00959079283887468,0.009650505594217386,0.009740631804117805,12
1003,Nepenthe,Frankenthaler Helen,1972.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/nepenthe-1972.jpg,78.45193962477076,1.0,3.0,0.0,0.3705035971223021,0.9028776978417266,0.0,37.29136690647482,0.0,0.0,12.679856115107913,0.0,48.737410071942435,0.017985611510791366,0.0001236603462489695,0.004937732138955648,0.010159781587074252,0.002183232772308669,0.007183255583536308,0.0028085177733065056,19
1004,Coral Wedge,Frankenthaler Helen,1972.0,abstract,https://uploads7.wikiart.org/images/helen-frankenthaler/coral-wedge-1972.jpg,47.41096709870389,8.0,3.0,0.0,47.61016949152543,0.0,0.0,9.881355932203391,0.0,0.3177966101694916,41.9364406779661,0.0,0.2542372881355932,0.0,0.010990103933562086,0.004692980289482784,0.004123608903020668,0.004381942321410374,0.006202097620008068,0.008178513731825527,12
1005,Pendulum,Frankenthaler Helen,1972.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/pendulum-1972.jpg,50.41291666666668,2.0,2.0,0.0,18.93125,0.0,0.0,81.06875,0.0,0.0,0.0,0.0,0.0,0.0,0.002444252246831873,0.008015069808672528,3.7894577285990366e-05,0.0044713794759986695,0.009089243173905076,0.008125210618938856,8
1006,New York III,Frankenthaler Helen,1972.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/new-york-iii-1972.jpg,98.68081678531286,3.0,1.0,0.0,0.0,2.394904458598726,0.0,0.0732484076433121,0.0,0.0,0.23248407643312105,0.0,97.29936305732485,0.0,0.04073773814349412,0.04136305186455208,0.006663376110562685,0.03217309501411101,0.044509232264334314,0.0311818578281727,2
1007,Connected By Joy,Frankenthaler Helen,1973.0,abstract,https://uploads3.wikiart.org/images/helen-frankenthaler/connected-by-joy-1970.jpg,49.07728449870514,5.0,3.0,0.0,12.518867924528301,0.0,0.0,79.00628930817611,0.0,0.0,0.07547169811320754,0.0,8.39937106918239,0.0,0.006578217968143686,0.003945136789322321,0.008788703390453777,0.0047382920110192826,0.006072650988185935,0.0060790273556231,8
1008,Untitled,Frankenthaler Helen,1973.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/untitled-1973.jpg,55.43804914370811,2.0,4.0,0.0,8.325949367088608,5.863924050632911,0.0,9.927215189873417,0.0,0.0,75.88291139240506,0.0,0.0,0.0,0.008250541441782116,0.003575972217446618,0.006440443213296399,0.002132489509527413,0.005683775404753703,0.000620240515488784,5
1009,Living Edge,Frankenthaler Helen,1973.0,abstract,https://uploads7.wikiart.org/images/helen-frankenthaler/living-edge-1973.jpg,76.00966869506424,7.0,4.0,0.0,9.353448275862071,0.9612068965517242,0.0,11.543103448275865,0.0,0.0,14.370689655172415,2.5043103448275863,59.495689655172406,1.7715517241379308,0.010303063517290514,0.008143602683947928,0.0035260115606936416,0.01355856857079351,0.01124516809183554,0.014517556801416347,3
1010,Pranzo Italiano,Frankenthaler Helen,1973.0,abstract,https://uploads2.wikiart.org/images/helen-frankenthaler/pranzo-italiano-1973.jpg,90.22867647058823,2.0,3.0,0.0,0.0,2.9602272727272725,0.0,5.588068181818182,0.0,0.0,11.809659090909092,0.0,79.64204545454545,0.0,0.009083003188713886,0.009072978303747536,0.003319502074688797,0.008759411446287092,0.0039085989176187615,0.007831516562599217,2
1011,Thanksgiving Day,Frankenthaler Helen,1973.0,abstract,https://uploads3.wikiart.org/images/helen-frankenthaler/thanksgiving-day-1973.jpg,72.88638985005768,3.0,3.0,0.0,25.058823529411768,0.0032679738562091513,0.0,10.895424836601308,0.0,0.0,0.6568627450980392,0.0,63.38562091503268,0.0,0.005823627287853577,0.007857113928151959,0.010051265490655149,0.0007447767629649955,0.007182409116443303,0.00056,3
1012,Distillation,Frankenthaler Helen,1973.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/distillation-1973.jpg,83.23610644257705,3.0,3.0,0.0,1.9857142857142855,59.646428571428565,0.0,9.989285714285714,0.0,0.0,0.09642857142857143,0.0,28.282142857142855,0.0,0.010793161307877192,0.005308269212038571,0.006013579049466538,9.265264523302141e-05,0.01004105455804521,0.0007939658594680427,9
1013,Yearning,Frankenthaler Helen,1973.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/yearning-1973.jpg,47.81329620605639,3.0,1.0,0.0,0.4023668639053254,0.0,0.0,99.17455621301777,0.0,0.0,0.0,0.0,0.4230769230769231,0.0,0.004901293396868618,8.977466558937069e-05,0.0003531696980399082,0.0028943560057887122,0.0031191786162977084,0.003569778673722229,14
1014,Ponti,Frankenthaler Helen,1973.0,abstract,https://uploads1.wikiart.org/images/helen-frankenthaler/ponti-1973.jpg,83.87979839823252,1.0,2.0,0.0,0.0,0.0,0.0,33.616197183098585,0.0,0.0,0.0,0.0,66.38380281690141,0.0,0.00750497779139225,0.009592450482215078,0.007021063189568706,0.007222522478258732,0.00560280140070035,0.0015240030480060962,3
